ZipCode,State,CombinedRate
36006,AL,0.06
36008,AL,0.06
36009,AL,0.075
36010,AL,0.08
36013,AL,0.07625
36015,AL,0.055
36016,AL,0.055
36017,AL,0.095
36020,AL,0.085
36022,AL,0.05
36024,AL,0.05
36025,AL,0.065
36026,AL,0.05
36027,AL,0.095
36028,AL,0.06
36029,AL,0.065
36030,AL,0.055
36031,AL,0.05
36032,AL,0.105
36033,AL,0.095
36034,AL,0.06
36035,AL,0.06
36036,AL,0.065
36037,AL,0.055
36038,AL,0.08
36039,AL,0.05
36040,AL,0.08
36041,AL,0.075
36042,AL,0.075
36043,AL,0.08
36046,AL,0.075
36047,AL,0.08
36048,AL,0.055
36049,AL,0.1
36051,AL,0.06
36052,AL,0.07625
36053,AL,0.065
36054,AL,0.085
36057,AL,0.0875
36064,AL,0.07625
36065,AL,0.065
36066,AL,0.095
36067,AL,0.095
36068,AL,0.095
36069,AL,0.065
36071,AL,0.075
36072,AL,0.095
36075,AL,0.075
36078,AL,0.05
36079,AL,0.09
36080,AL,0.05
36081,AL,0.09
36082,AL,0.09
36083,AL,0.1
36087,AL,0.1
36088,AL,0.1
36089,AL,0.1
36091,AL,0.06
36092,AL,0.065
36093,AL,0.05
36101,AL,0.1
36102,AL,0.1
36103,AL,0.1
36104,AL,0.1
36105,AL,0.1
36106,AL,0.1
36107,AL,0.1
36108,AL,0.1
36109,AL,0.1
36110,AL,0.1
36111,AL,0.1
36112,AL,0.1
36113,AL,0.1
36114,AL,0.1
36115,AL,0.1
36116,AL,0.1
36117,AL,0.1
36118,AL,0.1
36119,AL,0.1
36120,AL,0.1
36121,AL,0.1
36123,AL,0.1
36124,AL,0.1
36125,AL,0.1
36130,AL,0.1
36131,AL,0.1
36132,AL,0.1
36133,AL,0.1
36134,AL,0.1
36201,AL,0.1
36202,AL,0.1
36203,AL,0.1
36204,AL,0.1
36205,AL,0.1
36206,AL,0.095
36207,AL,0.1
36250,AL,0.07
36251,AL,0.06
36254,AL,0.07
36255,AL,0.06
36256,AL,0.09
36257,AL,0.1
36258,AL,0.06
36260,AL,0.1
36261,AL,0.09
36262,AL,0.06
36263,AL,0.06
36264,AL,0.06
36265,AL,0.1
36266,AL,0.06
36267,AL,0.06
36268,AL,0.07
36269,AL,0.06
